sequence,specimen,species,gene,location,sample_type,serial,dynamic_month,clone_n,pcr_n,pcr_info,serial_raw,serial_bool,first_sampling
BGH150WBGag2,BGH150,human,gag,Charmaguria,WB,,299,2,0,,,False,True
BGH150WBGag4,BGH150,human,gag,Charmaguria,WB,,299,4,0,,,False,True
BGH150WBGag5,BGH150,human,gag,Charmaguria,WB,,299,5,0,,,False,True
BGH150WBGag6,BGH150,human,gag,Charmaguria,WB,,299,6,0,,,False,True
BGH150WBGag8,BGH150,human,gag,Charmaguria,WB,,299,8,0,,,False,True
BGH31WBGag1,BGH31,human,gag,Bormi,WB,,265,1,0,,,False,True
BGH31WBGag2,BGH31,human,gag,Bormi,WB,,265,2,0,,,False,True
BGH31WBGag3,BGH31,human,gag,Bormi,WB,,265,3,0,,,False,True
BGH31WBGag4,BGH31,human,gag,Bormi,WB,,265,4,0,,,False,True
BGH31WBGag5,BGH31,human,gag,Bormi,WB,,265,5,0,,,False,True
BGH31WBGag6,BGH31,human,gag,Bormi,WB,,265,6,0,,,False,True
BGH34WBGag1,BGH34,human,gag,Bormi,WB,1,265,1,0,,,True,True
BGH34WBGag2,BGH34,human,gag,Bormi,WB,1,265,2,0,,,True,True
BGH34WBGag3,BGH34,human,gag,Bormi,WB,1,265,3,0,,,True,True
BGH34WBGag4,BGH34,human,gag,Bormi,WB,1,265,4,0,,,True,True
BGH34WBGag5,BGH34,human,gag,Bormi,WB,1,265,5,0,,,True,True
BGH34BtrimmedWBGag4,BGH34,human,gag,Bormi,WB,2,298,4,0,trimmed,B,True,False
BGH34BtrimmedWBGag5,BGH34,human,gag,Bormi,WB,2,298,5,0,trimmed,B,True,False
BGH34BtrimmedWBGag6,BGH34,human,gag,Bormi,WB,2,298,6,0,trimmed,B,True,False
BGH4WBGag1,BGH4,human,gag,Dhamrai,WB,,265,1,0,,,False,True
BGH4WBGag2,BGH4,human,gag,Dhamrai,WB,,265,2,0,,,False,True
BGH4WBGag3,BGH4,human,gag,Dhamrai,WB,,265,3,0,,,False,True
BGH4WBGag4,BGH4,human,gag,Dhamrai,WB,,265,4,0,,,False,True
BGH59WBGag1,BGH59,human,gag,Bormi,WB,1,287,1,0,,,True,True
BGH59WBGag2,BGH59,human,gag,Bormi,WB,1,287,2,0,,,True,True
BGH59WBGag3,BGH59,human,gag,Bormi,WB,1,287,3,0,,,True,True
BGH59WBGag4,BGH59,human,gag,Bormi,WB,1,287,4,0,,,True,True
BGH59WBGag5,BGH59,human,gag,Bormi,WB,1,287,5,0,,,True,True
BGH59WBGag6,BGH59,human,gag,Bormi,WB,1,287,6,0,,,True,True
BGH59trimmedWBGag104,BGH59,human,gag,Bormi,WB,1,287,104,1,trimmed,,True,True
BGH59trimmedWBGag105,BGH59,human,gag,Bormi,WB,1,287,105,1,trimmed,,True,True
BGH59trimmedWBGag106,BGH59,human,gag,Bormi,WB,1,287,106,1,trimmed,,True,True
BGH59WBGag501,BGH59,human,gag,Bormi,WB,1,287,501,5,,,True,True
BGH59WBGag502,BGH59,human,gag,Bormi,WB,1,287,502,5,,,True,True
BGH59WBGag503,BGH59,human,gag,Bormi,WB,1,287,503,5,,,True,True
BGH59WBGag506,BGH59,human,gag,Bormi,WB,1,287,506,5,,,True,True
BGH59AtrimmedWBGag102,BGH59,human,gag,Bormi,WB,2,298,102,1,trimmed,A,True,False
BGH59AtrimmedWBGag103,BGH59,human,gag,Bormi,WB,2,298,103,1,trimmed,A,True,False
BGH59WBGag203,BGH59,human,gag,Narayanganj,WB,3,328,203,2,,,True,False
BGH59WBGag204,BGH59,human,gag,Narayanganj,WB,3,328,204,2,,,True,False
BGH59WBGag205,BGH59,human,gag,Narayanganj,WB,3,328,205,2,,,True,False
BGH59WBGag206,BGH59,human,gag,Narayanganj,WB,3,328,206,2,,,True,False
BGH63WBGag1,BGH63,human,gag,Bormi,WB,1,287,1,0,,,True,True
BGH63WBGag2,BGH63,human,gag,Bormi,WB,1,287,2,0,,,True,True
BGH63WBGag3,BGH63,human,gag,Bormi,WB,1,287,3,0,,,True,True
BGH63WBGag4,BGH63,human,gag,Bormi,WB,1,287,4,0,,,True,True
BGH63WBGag5,BGH63,human,gag,Bormi,WB,1,287,5,0,,,True,True
BGH63WBGag6,BGH63,human,gag,Bormi,WB,1,287,6,0,,,True,True
BGH63AWBGag1,BGH63,human,gag,Bormi,WB,2,298,1,0,,A,True,False
BGH63AWBGag2,BGH63,human,gag,Bormi,WB,2,298,2,0,,A,True,False
BGH63AWBGag3,BGH63,human,gag,Bormi,WB,2,298,3,0,,A,True,False
BGH63AWBGag4,BGH63,human,gag,Bormi,WB,2,298,4,0,,A,True,False
BGH63AWBGag5,BGH63,human,gag,Bormi,WB,2,298,5,0,,A,True,False
BGH63AWBGag7,BGH63,human,gag,Bormi,WB,2,298,7,0,,A,True,False
BGH63AtrimmedWBGag101,BGH63,human,gag,Bormi,WB,2,298,101,1,trimmed,A,True,False
BGH63AtrimmedWBGag102,BGH63,human,gag,Bormi,WB,2,298,102,1,trimmed,A,True,False
BGH63AtrimmedWBGag103,BGH63,human,gag,Bormi,WB,2,298,103,1,trimmed,A,True,False
BGH83WBGag1,BGH83,human,gag,Bormi,WB,1,287,1,0,,,True,True
BGH83WBGag2,BGH83,human,gag,Bormi,WB,1,287,2,0,,,True,True
BGH83WBGag3,BGH83,human,gag,Bormi,WB,1,287,3,0,,,True,True
BGH83WBGag4,BGH83,human,gag,Bormi,WB,1,287,4,0,,,True,True
BGH83WBGag5,BGH83,human,gag,Bormi,WB,1,287,5,0,,,True,True
BGH83WBGag6,BGH83,human,gag,Bormi,WB,1,287,6,0,,,True,True
BGH83AWBGag7,BGH83,human,gag,Bormi,WB,2,298,7,0,,A,True,False
BGH83AGag8,BGH83,human,gag,Bormi,WB,2,298,8,0,,A,True,False
BGH83AWBGag9,BGH83,human,gag,Bormi,WB,2,298,9,0,,A,True,False
